# DL07 model SED (this work), smc, Mathis ISRF U =  1.00
# silicate (D03) + carbonaceous (DL07 PAH Nc=470 + D03 graphite blend)
# PAH ionization computed via WD01b grain charging (pah_ionfrac)
# columns: lambda[um]  lamI_total/NH  lamI_sil/NH  lamI_carb/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  9.120000E-02  1.42585061E-040  1.42585061E-040  7.96724701E-050
  9.226000E-02  2.10460220E-040  2.10460220E-040  1.49051244E-049
  9.332000E-02  3.07503068E-040  3.07503068E-040  2.77319555E-049
  9.441000E-02  4.48354192E-040  4.48354192E-040  5.21213704E-049
  9.550000E-02  6.47429489E-040  6.47429488E-040  9.70968100E-049
  9.661000E-02  9.31178516E-040  9.31178515E-040  1.81099057E-048
  9.772000E-02  1.32700938E-039  1.32700937E-039  3.34151536E-048
  9.886000E-02  1.89027759E-039  1.89027758E-039  6.19574857E-048
  1.000000E-01  2.66852866E-039  2.66852865E-039  1.13500912E-047
  1.012000E-01  3.78319533E-039  3.78319531E-039  2.09114239E-047
  1.023000E-01  5.16741779E-039  5.16741775E-039  3.63163259E-047
  1.035000E-01  7.14323356E-039  7.14323349E-039  6.53907390E-047
  1.047000E-01  9.77334081E-039  9.77334069E-039  1.16074237E-046
  1.059000E-01  1.33782309E-038  1.33782307E-038  2.03201099E-046
  1.072000E-01  1.86796093E-038  1.86796090E-038  3.67099576E-046
  1.084000E-01  2.52698334E-038  2.52698328E-038  6.25147550E-046
  1.097000E-01  3.48509819E-038  3.48509808E-038  1.09712275E-045
  1.109000E-01  4.65184487E-038  4.65184469E-038  1.82054997E-045
  1.122000E-01  6.33135833E-038  6.33135802E-038  3.11029771E-045
  1.135000E-01  8.54836494E-038  8.54836441E-038  5.24298930E-045
  1.148000E-01  1.14490157E-037  1.14490149E-037  8.72432524E-045
  1.161000E-01  1.52560380E-037  1.52560365E-037  1.43391017E-044
  1.175000E-01  2.06095912E-037  2.06095888E-037  2.41598505E-044
  1.189000E-01  2.76477510E-037  2.76477470E-037  4.01682616E-044
  1.202000E-01  3.60836067E-037  3.60836004E-037  6.36683895E-044
  1.216000E-01  4.77095599E-037  4.77095496E-037  1.03323403E-043
  1.230000E-01  6.26957764E-037  6.26957598E-037  1.65719041E-043
  1.244000E-01  8.17919886E-037  8.17919623E-037  2.62803134E-043
  1.259000E-01  1.07990213E-036  1.07990171E-036  4.25585614E-043
  1.274000E-01  1.41548374E-036  1.41548306E-036  6.81074377E-043
  1.288000E-01  1.81013246E-036  1.81013142E-036  1.04558040E-042
  1.303000E-01  2.33951522E-036  2.33951360E-036  1.61641503E-042
  1.318000E-01  3.00403842E-036  3.00403590E-036  2.51939003E-042
  1.333000E-01  3.83154911E-036  3.83154522E-036  3.89144358E-042
  1.349000E-01  4.92854617E-036  4.92854005E-036  6.12897184E-042
  1.365000E-01  6.29304531E-036  6.29303575E-036  9.56274097E-042
  1.380000E-01  7.85750892E-036  7.85749453E-036  1.43934393E-041
  1.396000E-01  9.88424440E-036  9.88422232E-036  2.20785449E-041
  1.412000E-01  1.23212183E-035  1.23211847E-035  3.35898117E-041
  1.429000E-01  1.53374973E-035  1.53374453E-035  5.20115412E-041
  1.445000E-01  1.85185177E-035  1.85184398E-035  7.78858652E-041
  1.462000E-01  2.22563667E-035  2.22562480E-035  1.18675740E-040
  1.479000E-01  2.64409391E-035  2.64407597E-035  1.79431513E-040
  1.496000E-01  3.11563012E-035  3.11560319E-035  2.69280987E-040
  1.514000E-01  3.67687723E-035  3.67683616E-035  4.10693806E-040
  1.531000E-01  4.24688184E-035  4.24682108E-035  6.07563889E-040
  1.549000E-01  4.87780073E-035  4.87770941E-035  9.13211865E-040
  1.567000E-01  5.66486415E-035  5.66472784E-035  1.36303786E-039
  1.585000E-01  6.49781415E-035  6.49761207E-035  2.02077438E-039
  1.603000E-01  7.37623096E-035  7.37593330E-035  2.97663908E-039
  1.622000E-01  8.51135580E-035  8.51091078E-035  4.45024791E-039
  1.641000E-01  9.67691031E-035  9.67624935E-035  6.60966197E-039
  1.660000E-01  1.09448664E-034  1.09438908E-034  9.75547398E-039
  1.679000E-01  1.24500687E-034  1.24486374E-034  1.43127498E-038
  1.698000E-01  1.39679338E-034  1.39658459E-034  2.08787004E-038
  1.718000E-01  1.60603088E-034  1.60572218E-034  3.08698486E-038
  1.738000E-01  1.83252551E-034  1.83207205E-034  4.53457698E-038
