# Guillet et al. (2018) Model D model SED (this work), Mathis ISRF U =  1.00
# solver = heuristic
# columns: lambda[um]  lamI_total/NH  lamI_PAH0_MC10/NH  lamI_amCBE_0.3333x/NH  lamI_aSil2001BE6pctG_/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  9.033300E-02  2.12399150E-043  2.12399150E-043  0.00000000E+000  0.00000000E+000
  9.181700E-02  4.50509370E-043  4.50509370E-043  0.00000000E+000  0.00000000E+000
  9.332500E-02  9.45048633E-043  9.45048633E-043  0.00000000E+000  0.00000000E+000
  9.485800E-02  1.96054669E-042  1.96054669E-042  0.00000000E+000  0.00000000E+000
  9.641600E-02  4.02188705E-042  4.02188705E-042  0.00000000E+000  0.00000000E+000
  9.799900E-02  8.15662288E-042  8.15662288E-042  0.00000000E+000  0.00000000E+000
  9.960900E-02  1.63639319E-041  1.63639319E-041  0.00000000E+000  0.00000000E+000
  1.012500E-01  3.20930149E-041  3.20930149E-041  0.00000000E+000  0.00000000E+000
  1.029100E-01  6.20553944E-041  6.20553944E-041  0.00000000E+000  0.00000000E+000
  1.046000E-01  1.18521204E-040  1.18521204E-040  0.00000000E+000  0.00000000E+000
  1.063200E-01  2.23608656E-040  2.23608656E-040  0.00000000E+000  0.00000000E+000
  1.080600E-01  4.15133814E-040  4.15133814E-040  0.00000000E+000  0.00000000E+000
  1.098400E-01  7.64277201E-040  7.64277201E-040  2.42092166E-322  0.00000000E+000
  1.116400E-01  1.38536846E-039  1.38536846E-039  8.66925625E-318  0.00000000E+000
  1.134800E-01  2.49030918E-039  2.49030918E-039  2.77977370E-313  0.00000000E+000
  1.153400E-01  4.40883568E-039  4.40883568E-039  7.11833721E-309  0.00000000E+000
  1.172300E-01  7.71621456E-039  7.71621456E-039  1.54184659E-304  0.00000000E+000
  1.191600E-01  1.33956032E-038  1.33956032E-038  2.96935541E-300  0.00000000E+000
  1.211200E-01  2.29956100E-038  2.29956100E-038  4.82414788E-296  0.00000000E+000
  1.231100E-01  3.90462670E-038  3.90462670E-038  6.62124681E-292  0.00000000E+000
  1.251300E-01  6.56003118E-038  6.56003118E-038  7.68645702E-288  0.00000000E+000
  1.271800E-01  1.09099127E-037  1.09099127E-037  7.55663563E-284  0.00000000E+000
  1.292700E-01  1.80130546E-037  1.80130546E-037  6.55983337E-280  0.00000000E+000
  1.314000E-01  2.92590235E-037  2.92590235E-037  5.00129237E-276  0.00000000E+000
  1.335600E-01  4.79524917E-037  4.79524917E-037  3.22746358E-272  0.00000000E+000
  1.357500E-01  7.80443248E-037  7.80443248E-037  1.76691990E-268  0.00000000E+000
  1.379800E-01  1.26465280E-036  1.26465280E-036  8.53705658E-265  0.00000000E+000
  1.402500E-01  2.04078853E-036  2.04078853E-036  3.63557827E-261  0.00000000E+000
  1.425500E-01  3.27310814E-036  3.27310814E-036  1.30880032E-257  0.00000000E+000
  1.448900E-01  5.23030419E-036  5.23030419E-036  4.15368480E-254  0.00000000E+000
  1.472700E-01  8.32828770E-036  8.32828770E-036  1.16150365E-250  0.00000000E+000
  1.496900E-01  1.32171239E-035  1.32171239E-035  2.86084118E-247  0.00000000E+000
  1.521500E-01  2.09091471E-035  2.09091471E-035  6.20516220E-244  0.00000000E+000
  1.546500E-01  3.29761255E-035  3.29761255E-035  1.18463817E-240  0.00000000E+000
  1.571900E-01  5.18582587E-035  5.18582587E-035  1.99130276E-237  0.00000000E+000
  1.597700E-01  8.13391902E-035  8.13391902E-035  2.94939116E-234  0.00000000E+000
  1.623900E-01  1.27256296E-034  1.27256296E-034  3.85162745E-231  0.00000000E+000
  1.650600E-01  1.98956205E-034  1.98956205E-034  4.55455886E-228  0.00000000E+000
  1.677700E-01  3.10414481E-034  3.10414481E-034  4.79513735E-225  0.00000000E+000
  1.705300E-01  4.84085565E-034  4.84085565E-034  4.67068673E-222  0.00000000E+000
  1.733300E-01  7.52690712E-034  7.52690712E-034  4.01482014E-219  0.00000000E+000
  1.761800E-01  1.16898756E-033  1.16898756E-033  3.12062923E-216  1.00888205E-320
  1.790700E-01  1.81208494E-033  1.81208494E-033  2.14331906E-213  3.53811476E-316
  1.820100E-01  2.80940564E-033  2.80940564E-033  1.33114284E-210  1.05268942E-311
  1.850000E-01  4.35914742E-033  4.35914742E-033  7.58706875E-208  2.66247037E-307
  1.880400E-01  6.77169222E-033  6.77169222E-033  3.90783264E-205  5.71049991E-303
  1.911300E-01  1.05352892E-032  1.05352892E-032  1.81784665E-202  1.03829494E-298
  1.942700E-01  1.64097639E-032  1.64097639E-032  7.63776854E-200  1.60117417E-294
  1.974600E-01  2.55538336E-032  2.55538336E-032  2.89958101E-197  2.09842764E-290
  2.007000E-01  3.96852348E-032  3.96852348E-032  9.92393790E-195  2.34132996E-286
  2.040000E-01  6.12691938E-032  6.12691938E-032  3.11969868E-192  2.29537194E-282
  2.073500E-01  9.33335246E-032  9.33335246E-032  8.86305968E-190  1.92203324E-278
  2.107600E-01  1.39258247E-031  1.39258247E-031  2.31438006E-187  1.41933482E-274
  2.142200E-01  2.01627152E-031  2.01627152E-031  5.46548024E-185  9.04140088E-271
  2.177400E-01  2.81672483E-031  2.81672483E-031  1.18416906E-182  4.87001827E-267
  2.213100E-01  3.78383851E-031  3.78383851E-031  2.31423306E-180  2.28665399E-263
  2.249500E-01  4.91102524E-031  4.91102524E-031  4.21769657E-178  9.97563986E-260
  2.286400E-01  6.19024605E-031  6.19024605E-031  6.96554027E-176  3.81607978E-256
  2.324000E-01  7.65482009E-031  7.65482009E-031  1.07175439E-173  1.31294341E-252
  2.362200E-01  9.35219500E-031  9.35219500E-031  1.51538063E-171  3.93058508E-249
  2.401000E-01  1.13574928E-030  1.13574928E-030  1.97023024E-169  1.02891445E-245
  2.440400E-01  1.37671489E-030  1.37671489E-030  2.35543033E-167  2.35154439E-242
  2.480500E-01  1.67085718E-030  1.67085718E-030  2.62082087E-165  4.78596239E-239
  2.521200E-01  2.03128649E-030  2.03128649E-030  2.68268049E-163  8.51005328E-236
  2.562700E-01  2.47759698E-030  2.47759698E-030  2.58312331E-161  1.37091877E-232
  2.604700E-01  3.02558680E-030  3.02558680E-030  2.25425049E-159  1.89262007E-229
  2.647500E-01  3.70492944E-030  3.70492944E-030  1.84517316E-157  2.36156719E-226
  2.691000E-01  4.54333821E-030  4.54333821E-030  1.40554114E-155  2.62129184E-223
  2.735200E-01  5.57597174E-030  5.57597174E-030  9.96631542E-154  2.58844705E-220
  2.780200E-01  6.84956041E-030  6.84956041E-030  6.64122879E-152  2.30931575E-217
  2.825800E-01  8.40776426E-030  8.40776426E-030  4.07901279E-150  1.80481955E-214
  2.872200E-01  1.03173110E-029  1.03173110E-029  2.34877974E-148  1.27145905E-211
  2.919400E-01  1.26530672E-029  1.26530672E-029  1.27116596E-146  8.08709287E-209
  2.967400E-01  1.54997726E-029  1.54997726E-029  6.46598271E-145  4.64359146E-206
  3.016100E-01  1.89524710E-029  1.89524710E-029  3.06676661E-143  2.37576976E-203
  3.065700E-01  1.54343609E-029  1.54343609E-029  1.37817846E-141  1.11130860E-200
  3.116000E-01  1.64524984E-029  1.64524984E-029  5.76196247E-140  4.62126605E-198
  3.167200E-01  1.78744066E-029  1.78744066E-029  2.28227029E-138  1.75585192E-195
  3.219200E-01  2.00340226E-029  2.00340226E-029  8.50474676E-137  6.02528806E-193
  3.272100E-01  2.30490029E-029  2.30490029E-029  3.00246281E-135  1.88829388E-190
  3.325800E-01  2.68491778E-029  2.68491778E-029  9.97762343E-134  5.34736549E-188
  3.380500E-01  3.12300900E-029  3.12300900E-029  3.15914311E-132  1.39550822E-185
  3.436000E-01  3.57401718E-029  3.57401718E-029  9.41412168E-131  3.28974758E-183
