# Guillet et al. (2018) Model D model SED (this work), Mathis ISRF U =  1.00
# solver = heuristic
# columns: lambda[um]  lamI_total/NH  lamI_PAH0_MC10/NH  lamI_amCBE_0.3333x/NH  lamI_aSil2001BE6pctG_0.4x/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  9.033300E-02  2.12399058E-043  2.12399058E-043  0.00000000E+000  0.00000000E+000
  9.181700E-02  4.50509172E-043  4.50509172E-043  0.00000000E+000  0.00000000E+000
  9.332500E-02  9.45048253E-043  9.45048253E-043  0.00000000E+000  0.00000000E+000
  9.485800E-02  1.96054598E-042  1.96054598E-042  0.00000000E+000  0.00000000E+000
  9.641600E-02  4.02188568E-042  4.02188568E-042  0.00000000E+000  0.00000000E+000
  9.799900E-02  8.15661998E-042  8.15661998E-042  0.00000000E+000  0.00000000E+000
  9.960900E-02  1.63639264E-041  1.63639264E-041  0.00000000E+000  0.00000000E+000
  1.012500E-01  3.20930047E-041  3.20930047E-041  0.00000000E+000  0.00000000E+000
  1.029100E-01  6.20553744E-041  6.20553744E-041  0.00000000E+000  0.00000000E+000
  1.046000E-01  1.18521164E-040  1.18521164E-040  0.00000000E+000  0.00000000E+000
  1.063200E-01  2.23608579E-040  2.23608579E-040  0.00000000E+000  0.00000000E+000
  1.080600E-01  4.15133671E-040  4.15133671E-040  0.00000000E+000  0.00000000E+000
  1.098400E-01  7.64276926E-040  7.64276926E-040  2.17388884E-322  0.00000000E+000
  1.116400E-01  1.38536798E-039  1.38536798E-039  7.76777419E-318  0.00000000E+000
  1.134800E-01  2.49030829E-039  2.49030829E-039  2.49556467E-313  0.00000000E+000
  1.153400E-01  4.40883422E-039  4.40883422E-039  6.40271932E-309  0.00000000E+000
  1.172300E-01  7.71621194E-039  7.71621194E-039  1.38944081E-304  0.00000000E+000
  1.191600E-01  1.33955995E-038  1.33955995E-038  2.68080130E-300  0.00000000E+000
  1.211200E-01  2.29956032E-038  2.29956032E-038  4.36327798E-296  0.00000000E+000
  1.231100E-01  3.90462538E-038  3.90462538E-038  5.99940599E-292  0.00000000E+000
  1.251300E-01  6.56002921E-038  6.56002921E-038  6.97681693E-288  0.00000000E+000
  1.271800E-01  1.09099095E-037  1.09099095E-037  6.87082370E-284  0.00000000E+000
  1.292700E-01  1.80130486E-037  1.80130486E-037  5.97465012E-280  0.00000000E+000
  1.314000E-01  2.92590135E-037  2.92590135E-037  4.56279780E-276  0.00000000E+000
  1.335600E-01  4.79524791E-037  4.79524791E-037  2.94934876E-272  0.00000000E+000
  1.357500E-01  7.80442986E-037  7.80442986E-037  1.61727596E-268  0.00000000E+000
  1.379800E-01  1.26465243E-036  1.26465243E-036  7.82650424E-265  0.00000000E+000
  1.402500E-01  2.04078792E-036  2.04078792E-036  3.33822298E-261  0.00000000E+000
  1.425500E-01  3.27310715E-036  3.27310715E-036  1.20360589E-257  0.00000000E+000
  1.448900E-01  5.23030288E-036  5.23030288E-036  3.82563310E-254  0.00000000E+000
  1.472700E-01  8.32828549E-036  8.32828549E-036  1.07136882E-250  0.00000000E+000
