# THEMIS (Jones et al. 2013 / Koehler et al. 2014) model SED (this work), Mathis ISRF U =  1.00
# solver = heuristic
# columns: lambda[um]  lamI_total/NH  lamI_CM20_plaw-ed/NH  lamI_CM20_logn/NH  lamI_aPyM5/NH  lamI_aOlM5/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  9.033300E-02  6.49869093E-044  6.49869093E-044  2.71726442E-062  8.79214124E-177  1.11903754E-176
  9.181700E-02  1.50767939E-043  1.50767939E-043  6.55508673E-062  1.63341169E-174  2.07302275E-174
  9.332500E-02  3.44097276E-043  3.44097276E-043  1.55481231E-061  2.77421768E-172  3.51123471E-172
  9.485800E-02  7.73327597E-043  7.73327597E-043  3.63052819E-061  4.32583089E-170  5.45992346E-170
  9.641600E-02  1.71079752E-042  1.71079752E-042  8.34376387E-061  6.19003796E-168  7.79225824E-168
  9.799900E-02  3.72800138E-042  3.72800138E-042  1.88892364E-060  8.13783808E-166  1.02177208E-165
  9.960900E-02  8.00823503E-042  8.00823503E-042  4.21618371E-060  9.88730623E-164  1.23816602E-163
  1.012500E-01  1.69929140E-041  1.69929140E-041  9.29961741E-060  1.12297000E-161  1.40273010E-161
  1.029100E-01  3.54377103E-041  3.54377103E-041  2.01625002E-059  1.15275593E-159  1.43633679E-159
  1.046000E-01  7.29813662E-041  7.29813662E-041  4.31939689E-059  1.10350311E-157  1.37161820E-157
  1.063200E-01  1.48486769E-040  1.48486769E-040  9.14866457E-059  9.84971153E-156  1.22132821E-155
  1.080600E-01  2.97224167E-040  2.97224167E-040  1.90781705E-058  7.99133732E-154  9.88581381E-154
  1.098400E-01  5.90117548E-040  5.90117548E-040  3.95272321E-058  6.19823818E-152  7.64975252E-152
  1.116400E-01  1.15363936E-039  1.15363936E-039  8.07684680E-058  4.37696509E-150  5.38967586E-150
  1.134800E-01  2.23585388E-039  2.23585388E-039  1.64103585E-057  2.94874093E-148  3.62263177E-148
  1.153400E-01  4.27128511E-039  4.27128511E-039  3.29839418E-057  1.81293978E-146  2.22216870E-146
  1.172300E-01  8.05773456E-039  8.05773456E-039  6.58231760E-057  1.03929250E-144  1.27103899E-144
  1.191600E-01  1.51044170E-038  1.51044170E-038  1.31547050E-056  5.68710751E-143  6.93973905E-143
  1.211200E-01  2.79463576E-038  2.79463576E-038  2.62192215E-056  2.89813767E-141  3.52877121E-141
  1.231100E-01  5.12518609E-038  5.12518609E-038  5.25167190E-056  1.38156868E-139  1.67856104E-139
