# THEMIS (Jones et al. 2013 / Koehler et al. 2014) model SED (this work), Mathis ISRF U =  1.00
# solver = heuristic
# columns: lambda[um]  lamI_total/NH  lamI_CM20/NH  lamI_CM20/NH  lamI_aPyM5/NH  lamI_aOlM5/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  9.033300E-02  6.49828211E-044  6.49828211E-044  2.71649583E-062  8.33065325E-177  1.05588342E-176
  9.181700E-02  1.50758619E-043  1.50758619E-043  6.55326863E-062  1.54915804E-174  1.95804888E-174
  9.332500E-02  3.44076406E-043  3.44076406E-043  1.55438930E-061  2.63359765E-172  3.31986265E-172
  9.485800E-02  7.73281562E-043  7.73281562E-043  3.62955978E-061  4.11036784E-170  5.16750083E-170
  9.641600E-02  1.71069756E-042  1.71069756E-042  8.34158130E-061  5.88708353E-168  7.38216910E-168
  9.799900E-02  3.72778757E-042  3.72778757E-042  1.88843904E-060  7.74649208E-166  9.68934142E-166
  9.960900E-02  8.00778491E-042  8.00778491E-042  4.21512288E-060  9.42013446E-164  1.17525510E-163
  1.012500E-01  1.69919772E-041  1.69919772E-041  9.29732277E-060  1.07084139E-161  1.33270740E-161
  1.029100E-01  3.54357921E-041  3.54357921E-041  2.01576180E-059  1.10018149E-159  1.36589047E-159
  1.046000E-01  7.29774915E-041  7.29774915E-041  4.31837068E-059  1.05405950E-157  1.30552726E-157
  1.063200E-01  1.48479050E-040  1.48479050E-040  9.14653013E-059  9.41616735E-156  1.16351573E-155
  1.080600E-01  2.97208999E-040  2.97208999E-040  1.90737983E-058  7.64577909E-154  9.42608605E-154
  1.098400E-01  5.90088020E-040  5.90088020E-040  3.95183245E-058  5.93497242E-152  7.30031748E-152
  1.116400E-01  1.15358278E-039  1.15358278E-039  8.07505371E-058  4.19434593E-150  5.14783175E-150
  1.134800E-01  2.23574633E-039  2.23574633E-039  1.64067635E-057  2.82790530E-148  3.46297496E-148
  1.153400E-01  4.27108362E-039  4.27108362E-039  3.29767879E-057  1.73996859E-146  2.12597290E-146
  1.172300E-01  8.05736189E-039  8.05736189E-039  6.58089831E-057  9.98205976E-145  1.21699621E-144
  1.191600E-01  1.51037327E-038  1.51037327E-038  1.31518701E-056  5.46631065E-143  6.64996075E-143
  1.211200E-01  2.79451159E-038  2.79451159E-038  2.62135338E-056  2.78764124E-141  3.38406760E-141
  1.231100E-01  5.12496314E-038  5.12496314E-038  5.25051620E-056  1.32984133E-139  1.61096583E-139
  1.251300E-01  9.28223093E-038  9.28223093E-038  1.05727308E-055  5.91749847E-138  7.15414638E-138
  1.271800E-01  1.66616802E-037  1.66616802E-037  2.15642596E-055  2.46401046E-136  2.97337695E-136
  1.292700E-01  2.96548298E-037  2.96548298E-037  4.47749751E-055  9.75516065E-135  1.17512783E-134
  1.314000E-01  5.24245517E-037  5.24245517E-037  9.50731139E-055  3.67356997E-133  4.41953367E-133
  1.335600E-01  9.17528003E-037  9.17528003E-037  2.05783631E-054  1.29494422E-131  1.55420033E-131
  1.357500E-01  1.58992279E-036  1.58992279E-036  4.53462932E-054  4.26795594E-130  5.11466554E-130
  1.379800E-01  2.73843996E-036  2.73843996E-036  1.01928330E-053  1.33956277E-128  1.60267228E-128
  1.402500E-01  4.67791820E-036  4.67791820E-036  2.32225064E-053  3.99286935E-127  4.76932501E-127
  1.425500E-01  7.93390634E-036  7.93390634E-036  5.33569806E-053  1.11741490E-125  1.33262519E-125
  1.448900E-01  1.33354822E-035  1.33354822E-035  1.22990383E-052  2.96830158E-124  3.53440005E-124
  1.472700E-01  2.23315261E-035  2.23315261E-035  2.84749301E-052  7.52011367E-123  8.93937185E-123
  1.496900E-01  3.70683422E-035  3.70683422E-035  6.56570957E-052  1.80803885E-121  2.14581182E-121
  1.521500E-01  6.12571565E-035  6.12571565E-035  1.51000561E-051  4.14154701E-120  4.90669612E-120
  1.546500E-01  1.00475661E-034  1.00475661E-034  3.44618907E-051  9.01207769E-119  1.06593944E-118
  1.571900E-01  1.64010823E-034  1.64010823E-034  7.81326827E-051  1.86742487E-117  2.20509260E-117
  1.597700E-01  2.66330841E-034  2.66330841E-034  1.75674978E-050  3.68310215E-116  4.34178371E-116
  1.623900E-01  4.30559632E-034  4.30559632E-034  3.91660162E-050  6.91871207E-115  8.14254111E-115
  1.650600E-01  6.96703547E-034  6.96703547E-034  8.70593902E-050  1.25435977E-113  1.47366082E-113
  1.677700E-01  1.12277105E-033  1.12277105E-033  1.91738546E-049  2.16534759E-112  2.54071266E-112
  1.705300E-01  1.82493945E-033  1.82493945E-033  4.23440726E-049  3.62313420E-111  4.24425935E-111
  1.733300E-01  2.95201953E-033  2.95201953E-033  9.25510762E-049  5.77381695E-110  6.75422627E-110
  1.761800E-01  4.86021317E-033  4.86021317E-033  2.04452487E-048  8.97170924E-109  1.04795780E-108
  1.790700E-01  7.95957094E-033  7.95957094E-033  4.46796074E-048  1.32864009E-107  1.54964104E-107
