# Zubko/ZDA BARE-GR-S model SED (this work), Mathis ISRF U =  1.00
# solver = draine
# columns: lambda[um]  lamI_total/NH  lamI_PAH/NH  lamI_GRA/NH  lamI_SIL/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  8.998430E-02  3.37279770E-043  2.02462909E-043  9.67486775E-046  1.33849374E-043
  9.120110E-02  6.20065795E-043  3.74298590E-043  1.81093067E-045  2.43956274E-043
  9.243430E-02  1.12071005E-042  6.87034532E-043  3.31365901E-045  4.30361855E-043
  9.368430E-02  2.00940734E-042  1.25204160E-042  5.97914795E-045  7.51386591E-043
  9.495110E-02  3.57286160E-042  2.26494064E-042  1.06016707E-044  1.29731929E-042
  9.623510E-02  6.30386820E-042  4.06730101E-042  1.81795322E-044  2.21838766E-042
  9.753640E-02  1.10397944E-041  7.24981783E-042  3.05282153E-044  3.75944831E-042
  9.885530E-02  1.91902769E-041  1.28270900E-041  5.08300521E-044  6.31235679E-042
  1.001920E-01  3.24606839E-041  2.18728398E-041  8.40903110E-044  1.05037538E-041
  1.015470E-01  5.51561693E-041  3.77535496E-041  1.39874996E-043  1.72627448E-041
  1.029200E-01  9.28300129E-041  6.45570036E-041  2.28196166E-043  2.80448132E-041
  1.043120E-01  1.54648347E-040  1.09410906E-040  3.60931135E-043  4.48765101E-041
  1.057220E-01  2.55992102E-040  1.83728157E-040  5.59797438E-043  7.17041477E-041
  1.071520E-01  4.21251828E-040  3.05940899E-040  8.57133672E-043  1.14453795E-040
  1.086010E-01  6.88130376E-040  5.05030666E-040  1.30107318E-042  1.81798637E-040
  1.100690E-01  1.11571863E-039  8.26518863E-040  1.94388960E-042  2.87255875E-040
  1.115580E-01  1.79623687E-039  1.34204020E-039  2.97269696E-042  4.51223976E-040
  1.130660E-01  2.87058579E-039  2.16076705E-039  4.76078820E-042  7.05057948E-040
  1.145950E-01  4.55303752E-039  3.45221061E-039  7.38997435E-042  1.09343694E-039
  1.161450E-01  7.17289279E-039  5.47355751E-039  1.16297188E-041  1.68770555E-039
  1.177150E-01  1.12148406E-038  8.61082251E-039  1.80780892E-041  2.58594002E-039
  1.193070E-01  1.74200912E-038  1.34501000E-038  2.80513409E-041  3.94193983E-039
  1.209210E-01  2.68741824E-038  2.08622570E-038  4.29390205E-041  5.96898640E-039
  1.225560E-01  4.11757017E-038  3.21288543E-038  6.57731929E-041  8.98107428E-039
  1.242130E-01  6.26762703E-038  4.91493214E-038  1.00455582E-040  1.34264933E-038
  1.258930E-01  9.48198727E-038  7.47154296E-038  1.53185395E-040  1.99512577E-038
  1.275950E-01  1.42554152E-037  1.12862670E-037  2.33393633E-040  2.94580885E-038
  1.293200E-01  2.13054496E-037  1.69486702E-037  3.58273325E-040  4.32095210E-038
  1.310690E-01  3.27799574E-037  2.64270316E-037  5.49474795E-040  6.29797829E-038
  1.328410E-01  4.88280120E-037  3.96218944E-037  8.46117976E-040  9.12150587E-038
  1.346380E-01  7.24472760E-037  5.91954670E-037  1.30699378E-039  1.31211096E-037
  1.364580E-01  1.07042390E-036  8.81005007E-037  2.01427531E-039  1.87404614E-037
  1.383040E-01  1.57609938E-036  1.30724314E-036  3.11107019E-039  2.65745172E-037
  1.401740E-01  2.31179624E-036  1.93327373E-036  4.79030847E-039  3.73732204E-037
  1.420690E-01  3.37732032E-036  2.85065542E-036  7.37859672E-039  5.19286299E-037
  1.439900E-01  4.91077346E-036  4.19231664E-036  1.13870718E-038  7.07069747E-037
  1.459370E-01  7.10959900E-036  6.14999762E-036  1.76268730E-038  9.41974505E-037
  1.479110E-01  1.02664795E-035  9.00199025E-036  2.74533770E-038  1.23703588E-036
  1.499110E-01  1.47985356E-035  1.31465098E-035  4.26857973E-038  1.60933998E-036
  1.519380E-01  2.12991713E-035  1.91610203E-035  6.63051880E-038  2.07184585E-036
  1.539930E-01  3.06062329E-035  2.78793941E-035  1.02292417E-037  2.62454636E-036
  1.560750E-01  4.39665685E-035  4.04917816E-035  1.57325427E-037  3.31746153E-036
  1.581860E-01  6.31551740E-035  5.87304283E-035  2.41134639E-037  4.18361113E-036
  1.603250E-01  9.06301268E-035  8.50623079E-035  3.67620660E-037  5.20019832E-036
  1.624930E-01  1.30143720E-034  1.23056777E-034  5.62057940E-037  6.52488500E-036
  1.646900E-01  1.86720997E-034  1.77833334E-034  8.52833247E-037  8.03482980E-036
  1.669170E-01  2.68035774E-034  2.56791911E-034  1.29601325E-036  9.94784997E-036
  1.691740E-01  3.84751832E-034  3.70565928E-034  1.96129207E-036  1.22246123E-035
  1.714620E-01  5.52438122E-034  5.34325812E-034  2.97201624E-036  1.51402937E-035
  1.737800E-01  7.92605240E-034  7.69347337E-034  4.49227792E-036  1.87656249E-035
  1.761300E-01  1.13653421E-033  1.10688570E-033  6.74581415E-036  2.29026925E-035
  1.785120E-01  1.62938837E-033  1.59187227E-033  1.00703630E-035  2.74457350E-035
  1.809260E-01  2.33724806E-033  2.28929414E-033  1.50403963E-035  3.29135234E-035
  1.833720E-01  3.35629597E-033  3.29343748E-033  2.25539680E-035  4.03045279E-035
  1.858520E-01  4.82496803E-033  4.74260971E-033  3.36693603E-035  4.86889536E-035
  1.883650E-01  6.94463985E-033  6.83668661E-033  5.00665855E-035  5.78866559E-035
  1.909120E-01  1.00109195E-032  9.86800591E-033  7.42181610E-035  6.86954636E-035
