# Zubko/ZDA BARE-GR-S model SED (this work), Mathis ISRF U =  0.32
# solver = draine
# columns: lambda[um]  lamI_total/NH  lamI_PAH/NH  lamI_GRA/NH  lamI_SIL/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  8.998430E-02  1.06656976E-043  6.40241558E-044  3.05945888E-046  4.23268744E-044
  9.120110E-02  1.96081569E-043  1.18363176E-043  5.72666046E-046  7.71457261E-044
  9.243430E-02  3.54398822E-043  2.17258624E-043  1.04787011E-045  1.36092328E-043
  9.368430E-02  6.35428968E-043  3.95928969E-043  1.89077102E-045  2.37609228E-043
  9.495110E-02  1.12983549E-042  7.16234696E-043  3.35253998E-045  4.10248256E-043
  9.623510E-02  1.99345378E-042  1.28618933E-042  5.74886830E-045  7.01515583E-043
  9.753640E-02  3.49108179E-042  2.29258629E-042  9.65386201E-045  1.18884164E-042
  9.885530E-02  6.06848514E-042  4.05626936E-042  1.60738623E-044  1.99614192E-042
  1.001920E-01  1.02649476E-041  6.91677822E-042  2.65916726E-044  3.32157770E-042
  1.015470E-01  1.74418758E-041  1.19386857E-041  4.42323281E-044  5.45895784E-042
  1.029200E-01  2.93553661E-041  2.04146577E-041  7.21619168E-044  8.86854648E-042
  1.043120E-01  4.89040000E-041  3.45986689E-041  1.14136368E-043  1.41911947E-041
  1.057220E-01  8.09516476E-041  5.80997871E-041  1.77023378E-043  2.26748372E-041
  1.071520E-01  1.33211256E-040  9.67467463E-041  2.71049307E-043  3.61934607E-041
  1.086010E-01  2.17605497E-040  1.59704298E-040  4.11435226E-043  5.74897641E-041
  1.100690E-01  3.52820529E-040  2.61367554E-040  6.14711508E-043  9.08382634E-041
  1.115580E-01  5.68018872E-040  4.24389302E-040  9.40048775E-043  1.42689521E-040
  1.130660E-01  9.07757208E-040  6.83292864E-040  1.50549258E-042  2.22958852E-040
  1.145950E-01  1.43979422E-039  1.09168227E-039  2.33691372E-042  3.45775037E-040
  1.161450E-01  2.26826377E-039  1.73088690E-039  3.67763811E-042  5.33699226E-040
  1.177150E-01  3.54643770E-039  2.72297508E-039  5.71679058E-042  8.17745836E-040
  1.193070E-01  5.50870667E-039  4.25328547E-039  8.87060873E-042  1.24655058E-039
  1.209210E-01  8.49834772E-039  6.59721035E-039  1.35785037E-041  1.88755887E-039
  1.225560E-01  1.30208784E-038  1.01600146E-038  2.07993002E-041  2.84006447E-039
  1.242130E-01  1.98199435E-038  1.55423474E-038  3.17668280E-041  4.24582931E-039
  1.258930E-01  2.99846281E-038  2.36270459E-038  4.84414517E-041  6.30914080E-039
  1.275950E-01  4.50795076E-038  3.56902381E-038  7.38055134E-041  9.31546402E-039
  1.293200E-01  6.73736418E-038  5.35962976E-038  1.13295924E-040  1.36640483E-038
  1.310690E-01  1.03659165E-037  8.35694532E-038  1.73759114E-040  1.99159523E-038
  1.328410E-01  1.54407498E-037  1.25295202E-037  2.67565883E-040  2.88447304E-038
  1.346380E-01  2.29098051E-037  1.87192157E-037  4.13307565E-040  4.14925864E-038
  1.364580E-01  3.38497259E-037  2.78597756E-037  6.36969522E-040  5.92625336E-038
  1.383040E-01  4.98405664E-037  4.13385868E-037  9.83806418E-040  8.40359899E-038
  1.401740E-01  7.31053107E-037  6.11353798E-037  1.51482800E-039  1.18184481E-037
  1.420690E-01  1.06800087E-036  9.01454840E-037  2.33331626E-039  1.64212717E-037
  1.439900E-01  1.55292076E-036  1.32572479E-036  3.60090692E-039  2.23595056E-037
  1.459370E-01  2.24824947E-036  1.94479691E-036  5.57410477E-039  2.97878458E-037
