# Zubko/ZDA BARE-GR-S model SED (this work), Mathis ISRF U =  0.32
# solver = draine
# columns: lambda[um]  lamI_total/NH  lamI_PAH/NH  lamI_GRA/NH  lamI_SIL/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  8.998430E-02  2.13313843E-043  1.28048232E-043  6.11891198E-046  8.46537202E-044
  9.120110E-02  3.92162889E-043  2.36726171E-043  1.14533078E-045  1.54291388E-043
  9.243430E-02  7.08797087E-043  4.34516834E-043  2.09573733E-045  2.72184516E-043
  9.368430E-02  1.27085670E-042  7.91857007E-043  3.78153572E-045  4.75218156E-043
  9.495110E-02  2.25966826E-042  1.43246732E-042  6.70506644E-045  8.20495876E-043
  9.623510E-02  3.98690161E-042  2.57237407E-042  1.14977087E-044  1.40302983E-042
  9.753640E-02  6.98215075E-042  4.58516255E-042  1.93076676E-044  2.37768053E-042
  9.885530E-02  1.21369428E-041  8.11251699E-042  3.21476118E-044  3.99227822E-042
  1.001920E-01  2.05298383E-041  1.38335112E-041  5.31831218E-044  6.64314408E-042
  1.015470E-01  3.48836334E-041  2.38772760E-041  8.84642117E-044  1.09178932E-041
  1.029200E-01  5.87104892E-041  4.08291173E-041  1.44322968E-043  1.77370489E-041
  1.043120E-01  9.78075062E-041  6.91969305E-041  2.28271107E-043  2.83823046E-041
  1.057220E-01  1.61902302E-040  1.16198747E-040  3.54043753E-043  4.53495117E-041
  1.071520E-01  2.66420533E-040  1.93491829E-040  5.42093162E-043  7.23866108E-041
  1.086010E-01  4.35207090E-040  3.19405291E-040  8.22860664E-043  1.14978939E-040
  1.100690E-01  7.05633439E-040  5.22728614E-040  1.22940576E-042  1.81675418E-040
  1.115580E-01  1.13602301E-039  8.48765975E-040  1.88006646E-042  2.85376974E-040
  1.130660E-01  1.81548624E-039  1.36656144E-039  3.01092664E-042  4.45913873E-040
  1.145950E-01  2.87953506E-039  2.18331829E-039  4.67372092E-042  6.91543049E-040
  1.161450E-01  4.53642737E-039  3.46168663E-039  7.35508003E-042  1.06738566E-039
  1.177150E-01  7.09268936E-039  5.44578753E-039  1.14332250E-041  1.63546860E-039
  1.193070E-01  1.10170709E-038  8.50627042E-039  1.77405734E-041  2.49305986E-039
  1.209210E-01  1.69960708E-038  1.31938705E-038  2.71558608E-041  3.77504443E-039
  1.225560E-01  2.60406281E-038  2.03190316E-038  4.15965620E-041  5.67999997E-039
  1.242130E-01  3.96378656E-038  3.10829019E-038  6.35300499E-041  8.49143365E-039
  1.258930E-01  5.99656664E-038  4.72508975E-038  9.68765461E-041  1.26178923E-038
  1.275950E-01  9.01526941E-038  7.13748340E-038  1.47599852E-040  1.86302602E-038
  1.293200E-01  1.34736243E-037  1.07182710E-037  2.26572095E-040  2.73269606E-038
  1.310690E-01  2.07298435E-037  1.67120963E-037  3.47483407E-040  3.98299884E-038
  1.328410E-01  3.08780482E-037  2.50559156E-037  5.35070253E-040  5.76862556E-038
  1.346380E-01  4.58136567E-037  3.74330203E-037  8.26506322E-040  8.29798578E-038
  1.364580E-01  6.76892455E-037  5.57102373E-037  1.27374739E-039  1.18516334E-037
  1.383040E-01  9.96637262E-037  8.26612228E-037  1.96727510E-039  1.68057759E-037
  1.401740E-01  1.46181103E-036  1.22243592E-036  3.02906376E-039  2.36346039E-037
