# Zubko/ZDA BARE-GR-S model SED (this work), Mathis ISRF U =  1.00
# solver = heuristic
# columns: lambda[um]  lamI_total/NH  lamI_PAH/NH  lamI_GRA/NH  lamI_SIL/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  8.998430E-02  7.24579560E-043  4.79547257E-043  2.63436883E-045  2.42397934E-043
  9.120110E-02  1.31615810E-042  8.73218758E-043  4.86426638E-045  4.38075074E-043
  9.243430E-02  2.35426436E-042  1.57909892E-042  8.78192496E-045  7.66383517E-043
  9.368430E-02  4.17853606E-042  2.83580515E-042  1.56375059E-044  1.32709340E-042
  9.495110E-02  7.35653443E-042  5.05637492E-042  2.73670654E-044  2.27279244E-042
  9.623510E-02  1.28534932E-041  8.95173604E-042  4.63275883E-044  3.85542958E-042
  9.753640E-02  2.22930690E-041  1.57339598E-041  7.68136050E-044  6.48229559E-042
  9.885530E-02  3.83820341E-041  2.74560360E-041  1.26302590E-043  1.07996955E-041
  1.001920E-01  6.42243514E-041  4.61849504E-041  2.06379673E-043  1.78330213E-041
  1.015470E-01  1.08080167E-040  7.86543383E-041  3.39127140E-043  2.90867012E-041
  1.029200E-01  1.80176048E-040  1.32728001E-040  5.46645344E-043  4.69014014E-041
  1.043120E-01  2.97383471E-040  2.22031338E-040  8.54409450E-043  7.44977235E-041
  1.057220E-01  4.87563354E-040  3.68084721E-040  1.30975530E-042  1.18168878E-040
  1.071520E-01  7.94457392E-040  6.05206938E-040  1.98240033E-042  1.87268053E-040
  1.086010E-01  1.28496637E-039  9.86638701E-040  2.97507325E-042  2.95352593E-040
  1.100690E-01  2.06276740E-039  1.59494896E-039  4.39531642E-042  4.63423122E-040
  1.115580E-01  3.28808036E-039  2.55850094E-039  6.64744454E-042  7.22931981E-040
  1.130660E-01  5.20283479E-039  4.07036741E-039  1.05302310E-041  1.12193714E-039
  1.145950E-01  8.17134546E-039  6.42689580E-039  1.61703716E-041  1.72827929E-039
  1.161450E-01  1.27473043E-038  1.00722137E-038  2.51783659E-041  2.64991221E-039
  1.177150E-01  1.97373637E-038  1.56648928E-038  3.87309601E-041  4.03373993E-039
  1.193070E-01  3.03626686E-038  2.41939022E-038  5.94794761E-041  6.10928686E-039
  1.209210E-01  4.63937005E-038  3.71116040E-038  9.01226472E-041  9.19197385E-039
  1.225560E-01  7.04111437E-038  5.65308145E-038  1.36666569E-040  1.37436626E-038
  1.242130E-01  1.06175867E-037  8.55499606E-038  2.06670987E-040  2.04192351E-038
  1.258930E-01  1.59143520E-037  1.28674655E-037  3.12084980E-040  3.01567795E-038
  1.275950E-01  2.37075755E-037  1.92346617E-037  4.70928648E-040  4.42582092E-038
  1.293200E-01  3.51132622E-037  2.85884049E-037  7.16059654E-040  6.45325135E-038
  1.310690E-01  5.35849256E-037  4.41254336E-037  1.08794477E-039  9.35069749E-038
  1.328410E-01  7.91289001E-037  6.54984672E-037  1.65986365E-039  1.34644465E-037
  1.346380E-01  1.16407351E-036  9.68955881E-037  2.54068621E-039  1.92576942E-037
  1.364580E-01  1.70556282E-036  1.42817984E-036  3.88052397E-039  2.73502456E-037
  1.383040E-01  2.49061891E-036  2.09900018E-036  5.94055450E-039  3.85678172E-037
  1.401740E-01  3.62365993E-036  3.07516497E-036  9.06738644E-039  5.39427569E-037
  1.420690E-01  5.25197386E-036  4.49266536E-036  1.38467424E-038  7.45461750E-037
  1.439900E-01  7.57809257E-036  6.54728333E-036  2.11881416E-038  1.00962110E-036
