# Zubko/ZDA BARE-GR-S model SED (this work), Mathis ISRF U =  2.00
# solver = heuristic
# columns: lambda[um]  lamI_total/NH  lamI_PAH/NH  lamI_GRA/NH  lamI_SIL/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  8.998430E-02  2.89381362E-042  1.91575022E-042  1.05138004E-044  9.67549606E-043
  9.120110E-02  5.25562756E-042  3.48769368E-042  1.94128136E-044  1.74852106E-042
  9.243430E-02  9.39980763E-042  6.30596197E-042  3.50470613E-044  3.05879860E-042
  9.368430E-02  1.66819034E-041  1.13229599E-041  6.24054012E-044  5.29653818E-042
  9.495110E-02  2.93670739E-041  2.01871967E-041  1.09213750E-043  9.07066345E-042
  9.623510E-02  5.13075231E-041  3.57360371E-041  1.84877622E-043  1.53866084E-041
  9.753640E-02  8.89830529E-041  6.28068105E-041  3.06534434E-043  2.58697079E-041
  9.885530E-02  1.53195882E-040  1.09592767E-040  5.04023182E-043  4.30990921E-041
  1.001920E-01  2.56332291E-040  1.84342059E-040  8.23574318E-043  7.11666570E-041
  1.015470E-01  4.31357269E-040  3.13928080E-040  1.35330724E-042  1.16075882E-040
  1.029200E-01  7.19080925E-040  5.29732243E-040  2.18141222E-042  1.87167270E-040
  1.043120E-01  1.18683092E-039  8.86128726E-040  3.40954563E-042  2.97292647E-040
  1.057220E-01  1.94578862E-039  1.46899676E-039  5.22659842E-042  4.71565258E-040
  1.071520E-01  3.17050735E-039  2.41528756E-039  7.91077226E-042  7.47309026E-040
  1.086010E-01  5.12795599E-039  3.93745973E-039  1.18719949E-041  1.17862426E-039
  1.100690E-01  8.23185695E-039  6.36500413E-039  1.75393960E-041  1.84931343E-039
  1.115580E-01  1.31215590E-038  1.02101469E-038  2.65263540E-041  2.88488575E-039
  1.130660E-01  2.07624626E-038  1.62433288E-038  4.20202805E-041  4.47711355E-039
  1.145950E-01  3.26083201E-038  2.56470842E-038  6.45266411E-041  6.89670929E-039
  1.161450E-01  5.08685459E-038  4.01936220E-038  1.00471854E-040  1.05744521E-038
  1.177150E-01  7.87619063E-038  6.25108123E-038  1.54551291E-040  1.60965428E-038
  1.193070E-01  1.21161039E-037  9.65448302E-038  2.37344267E-040  2.43788644E-038
  1.209210E-01  1.85130449E-037  1.48090790E-037  3.59618779E-040  3.66800405E-038
  1.225560E-01  2.80967288E-037  2.25578925E-037  5.45339731E-040  5.48430241E-038
  1.242130E-01  4.23677360E-037  3.41371743E-037  8.24670141E-040  8.14809465E-038
  1.258930E-01  6.35028218E-037  5.13445992E-037  1.24528574E-039  1.20336940E-037
  1.275950E-01  9.45987051E-037  7.67502187E-037  1.87908336E-039  1.76605781E-037
  1.293200E-01  1.40107872E-036  1.14071613E-036  2.85715788E-039  2.57505429E-037
  1.310690E-01  2.13809146E-036  1.76063087E-036  4.34095422E-039  3.73119642E-037
