# Zubko/ZDA BARE-GR-S model SED (this work), Mathis ISRF U =  1.00
# solver = heuristic
# columns: lambda[um]  lamI_total/NH  lamI_PAH/NH  lamI_GRA/NH  lamI_SIL/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  8.998430E-02  7.24579450E-043  4.79547148E-043  2.63436867E-045  2.42397933E-043
  9.120110E-02  1.31615791E-042  8.73218576E-043  4.86426611E-045  4.38075073E-043
  9.243430E-02  2.35426405E-042  1.57909861E-042  8.78192449E-045  7.66383517E-043
  9.368430E-02  4.17853556E-042  2.83580465E-042  1.56375051E-044  1.32709340E-042
  9.495110E-02  7.35653361E-042  5.05637411E-042  2.73670641E-044  2.27279244E-042
  9.623510E-02  1.28534919E-041  8.95173471E-042  4.63275862E-044  3.85542958E-042
  9.753640E-02  2.22930669E-041  1.57339577E-041  7.68136016E-044  6.48229560E-042
  9.885530E-02  3.83820306E-041  2.74560325E-041  1.26302585E-043  1.07996955E-041
  1.001920E-01  6.42243460E-041  4.61849450E-041  2.06379665E-043  1.78330214E-041
  1.015470E-01  1.08080158E-040  7.86543297E-041  3.39127128E-043  2.90867013E-041
  1.029200E-01  1.80176034E-040  1.32727987E-040  5.46645324E-043  4.69014015E-041
  1.043120E-01  2.97383450E-040  2.22031317E-040  8.54409421E-043  7.44977238E-041
  1.057220E-01  4.87563321E-040  3.68084687E-040  1.30975526E-042  1.18168878E-040
  1.071520E-01  7.94457340E-040  6.05206886E-040  1.98240027E-042  1.87268054E-040
  1.086010E-01  1.28496629E-039  9.86638621E-040  2.97507316E-042  2.95352594E-040
  1.100690E-01  2.06276728E-039  1.59494883E-039  4.39531629E-042  4.63423124E-040
  1.115580E-01  3.28808018E-039  2.55850075E-039  6.64744435E-042  7.22931984E-040
  1.130660E-01  5.20283451E-039  4.07036713E-039  1.05302307E-041  1.12193715E-039
  1.145950E-01  8.17134505E-039  6.42689537E-039  1.61703712E-041  1.72827930E-039
  1.161450E-01  1.27473036E-038  1.00722131E-038  2.51783652E-041  2.64991222E-039
  1.177150E-01  1.97373627E-038  1.56648918E-038  3.87309591E-041  4.03373995E-039
  1.193070E-01  3.03626672E-038  2.41939008E-038  5.94794746E-041  6.10928689E-039
  1.209210E-01  4.63936984E-038  3.71116019E-038  9.01226449E-041  9.19197389E-039
  1.225560E-01  7.04111406E-038  5.65308114E-038  1.36666566E-040  1.37436626E-038
  1.242130E-01  1.06175862E-037  8.55499559E-038  2.06670982E-040  2.04192352E-038
  1.258930E-01  1.59143513E-037  1.28674648E-037  3.12084972E-040  3.01567796E-038
  1.275950E-01  2.37075745E-037  1.92346607E-037  4.70928636E-040  4.42582094E-038
  1.293200E-01  3.51132607E-037  2.85884034E-037  7.16059637E-040  6.45325138E-038
  1.310690E-01  5.35849233E-037  4.41254313E-037  1.08794474E-039  9.35069753E-038
  1.328410E-01  7.91288967E-037  6.54984637E-037  1.65986361E-039  1.34644466E-037
  1.346380E-01  1.16407346E-036  9.68955830E-037  2.54068615E-039  1.92576943E-037
  1.364580E-01  1.70556274E-036  1.42817976E-036  3.88052388E-039  2.73502457E-037
  1.383040E-01  2.49061879E-036  2.09900007E-036  5.94055435E-039  3.85678173E-037
