# Zubko/ZDA BARE-GR-S model SED (this work), Mathis ISRF U =  1.00
# solver = heuristic
# columns: lambda[um]  lamI_total/NH  lamI_PAH/NH  lamI_GRA/NH  lamI_SIL/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  8.998430E-02  1.19005705E-045  1.06066670E-045  6.54586391E-049  1.28735757E-046
  9.120110E-02  1.74767428E-045  1.55868351E-045  9.40180955E-049  1.88050587E-046
  9.243430E-02  1.83089075E-042  1.83062270E-042  1.32610492E-048  2.66723252E-046
  9.368430E-02  4.96950266E-042  3.23608483E-042  2.17352934E-044  1.71168253E-042
  9.495110E-02  8.61326301E-042  5.67828102E-042  3.76509677E-044  2.89733103E-042
  9.623510E-02  1.48098794E-041  9.89001391E-042  6.30759955E-044  4.85678946E-042
  9.753640E-02  3.81073605E-041  2.63969686E-041  1.41661296E-043  1.15687306E-041
  9.885530E-02  6.50840654E-041  4.56787115E-041  2.31998440E-043  1.91733555E-041
  1.001920E-01  1.08042653E-040  7.61753552E-041  3.77519238E-043  3.14897786E-041
  1.015470E-01  2.04986218E-040  1.48021558E-040  6.17692591E-043  5.63469677E-041
  1.029200E-01  3.40492156E-040  2.48755482E-040  1.07107848E-042  9.06655957E-041
  1.043120E-01  5.59686997E-040  4.14323013E-040  1.67166015E-042  1.43692324E-040
  1.057220E-01  9.20459888E-040  6.83743127E-040  2.55860921E-042  2.34158152E-040
  1.071520E-01  1.55663031E-039  1.18190370E-039  3.94477892E-042  3.70781830E-040
  1.086010E-01  2.51299934E-039  1.92280429E-039  5.91727718E-042  5.84277767E-040
  1.100690E-01  4.03446571E-039  3.10141726E-039  8.73758409E-042  9.24310870E-040
  1.115580E-01  6.52658547E-039  5.07182759E-039  1.32774225E-041  1.44148045E-039
  1.130660E-01  1.03185499E-038  8.06117374E-039  2.10295423E-041  2.23634661E-039
  1.145950E-01  1.61909790E-038  1.27149453E-038  3.22877642E-041  3.44374598E-039
  1.161450E-01  2.52493616E-038  1.99043085E-038  5.02648348E-041  5.29478824E-039
  1.177150E-01  3.93469410E-038  3.12106763E-038  7.74283721E-041  8.05883637E-039
  1.193070E-01  6.05034424E-038  4.81807028E-038  1.18900265E-040  1.22038394E-038
  1.209210E-01  9.24243786E-038  7.38662404E-038  1.80144158E-040  1.83779940E-038
  1.225560E-01  1.40638433E-037  1.12888170E-037  2.73159058E-040  2.74771043E-038
  1.242130E-01  2.12033456E-037  1.70799124E-037  4.13259195E-040  4.08210725E-038
  1.258930E-01  3.17761229E-037  2.56832011E-037  6.24025557E-040  6.03051923E-038
  1.275950E-01  4.73254704E-037  3.83810971E-037  9.41606106E-040  8.85021268E-038
  1.293200E-01  7.01788406E-037  5.71315664E-037  1.43191134E-039  1.29040831E-037
  1.310690E-01  1.07086948E-036  8.81697878E-037  2.17552451E-039  1.86996081E-037
  1.328410E-01  1.58115351E-036  1.30857540E-036  3.31908506E-039  2.69259023E-037
  1.346380E-01  2.32723131E-036  1.93704685E-036  5.08024108E-039  3.85104225E-037
  1.364580E-01  3.40957576E-036  2.85486900E-036  7.75953884E-039  5.46947218E-037
  1.383040E-01  4.97858513E-036  4.19544398E-036  1.18784687E-038  7.71262682E-037
  1.401740E-01  7.24280494E-036  6.14597020E-036  1.81301742E-038  1.07870457E-036
  1.420690E-01  1.04998337E-035  8.98143853E-036  2.76860789E-038  1.49070911E-036
  1.439900E-01  1.51492650E-035  1.30879905E-035  4.23634306E-038  2.01891105E-036
  1.459370E-01  2.17674839E-035  1.90270258E-035  6.50272987E-038  2.67543077E-036
  1.479110E-01  3.11993800E-035  2.76037885E-035  1.00439734E-037  3.49515179E-036
  1.499110E-01  4.46472477E-035  3.99686438E-035  1.54894616E-037  4.52370928E-036
  1.519380E-01  6.37881371E-035  5.77552619E-035  2.38664485E-037  5.79421077E-036
  1.539930E-01  9.09936319E-035  8.33252222E-035  3.65272451E-037  7.30313727E-036
  1.560750E-01  1.29768969E-034  1.20025931E-034  5.57381949E-037  9.18565570E-036
  1.581860E-01  1.85042420E-034  1.72667339E-034  8.47695400E-037  1.15273861E-035
