# Zubko/ZDA BARE-GR-S model SED (this work), Mathis ISRF U =  1.00
# solver = qm
# columns: lambda[um]  lamI_total/NH  lamI_PAH/NH  lamI_GRA/NH  lamI_SIL/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  8.998430E-02  4.06860548E-043  4.04925576E-043  1.93497174E-045  8.05048817E-112
  9.120110E-02  5.48053722E-040  7.48596603E-043  3.62185735E-045  5.47301504E-040
  9.243430E-02  2.33231729E-039  1.37406774E-042  6.62730937E-045  2.33093660E-039
  9.368430E-02  3.58547240E-039  2.50408035E-042  1.19582765E-044  3.58295636E-039
  9.495110E-02  5.45853657E-039  4.52987460E-042  2.12033001E-044  5.45398549E-039
  9.623510E-02  1.14450639E-038  8.13458764E-042  3.63589778E-044  1.14368929E-038
  9.753640E-02  1.72384678E-038  1.44996033E-041  6.10562558E-044  1.72239072E-038
  9.885530E-02  2.90177170E-038  2.56541109E-041  1.01659755E-043  2.89919613E-038
  1.001920E-01  4.31622950E-038  4.37455356E-041  1.68179927E-043  4.31183813E-038
  1.015470E-01  6.69144273E-038  7.55067993E-041  2.79748610E-043  6.68386407E-038
  1.029200E-01  9.76255298E-038  1.29113377E-040  4.56389632E-043  9.74959600E-038
  1.043120E-01  1.40473476E-037  2.18820522E-040  7.21857135E-043  1.40253933E-037
  1.057220E-01  2.07280053E-037  3.67453707E-040  1.11958543E-042  2.06911480E-037
  1.071520E-01  2.98645560E-037  6.11876525E-040  1.71425025E-042  2.98031970E-037
  1.086010E-01  4.33939524E-037  1.01005085E-039  2.60211560E-042  4.32926871E-037
  1.100690E-01  6.20986904E-037  1.65301723E-039  3.88772484E-042  6.19329999E-037
  1.115580E-01  8.89489038E-037  2.68404036E-039  5.94529587E-042  8.86799053E-037
  1.130660E-01  1.26251313E-036  4.32145721E-039  9.52139182E-042  1.25818215E-036
  1.145950E-01  1.78558052E-036  6.90427504E-039  1.47796120E-041  1.77866146E-036
  1.161450E-01  2.51028004E-036  1.09468397E-038  2.32588187E-041  2.49930995E-036
  1.177150E-01  3.50797922E-036  1.72211313E-038  3.61550524E-041  3.49072194E-036
  1.193070E-01  4.88992999E-036  2.68992485E-038  5.61006499E-041  4.86297464E-036
  1.209210E-01  6.77036771E-036  4.17227724E-038  8.58744177E-041  6.72855906E-036
  1.225560E-01  9.33300027E-036  6.42545558E-038  1.31539947E-040  9.26861417E-036
  1.242130E-01  1.27907549E-035  9.82929701E-038  2.00899760E-040  1.26922610E-035
  1.258930E-01  1.74508292E-035  1.49420761E-037  3.06350690E-040  1.73011021E-035
  1.275950E-01  2.36792671E-035  2.25707491E-037  4.66751940E-040  2.34530929E-035
  1.293200E-01  3.19587050E-035  3.38942148E-037  7.16484213E-040  3.16190464E-035
  1.310690E-01  4.29421944E-035  5.28483893E-037  1.09883952E-039  4.24126116E-035
